concept_id,block,chosen_source,matched_title_or_gloss,match_score,attribution_url,note
election,news,cats,elect,3,https://archive.org/details/electASL,
party,news,cats,party,3,https://archive.org/details/partyASL,
country,news,cats,"nation,national",2,https://archive.org/details/nationnationalASL,
city,news,signbank,CITYtwist,3,https://aslsignbank.com/dictionary/gloss/551.html,reviewed override: CATS 'county' is narrower
people,news,signbank,PEOPLEdis,3,https://aslsignbank.com/dictionary/gloss/570.html,reviewed override: automatic pick was an offensive gloss that lists 'people' as 
world,news,signbank,WORLD,3,https://aslsignbank.com/dictionary/gloss/702.html,reviewed override: prefer the citation form
military,news,signbank,ARMY,3,https://aslsignbank.com/dictionary/gloss/807.html,reviewed override: CATS 'navy' is narrower
war,news,cats,war,3,https://archive.org/details/warASL,
police,news,cats,police,3,https://archive.org/details/policeASL,
fire,news,signbank,FIREstr,3,https://aslsignbank.com/dictionary/gloss/457.html,reviewed override: CATS hit was 'fired up'; FIREstr is flames
firefighter,news,signbank,FIREFIGHTERb,2,https://aslsignbank.com/dictionary/gloss/133.html,
emergency,news,cats,emergency,3,https://archive.org/details/emergencyASL,
rescue,news,cats,rescue,3,https://archive.org/details/rescueASL,
search,news,cats,"search,seek,look",2,https://archive.org/details/searchseeklookASL,
safe,news,cats,"safe,secure,sound",2,https://archive.org/details/safesecuresoundASL,
alive,news,cats,alive,3,https://archive.org/details/aliveASL,
kill,news,signbank,KILLix,3,https://aslsignbank.com/dictionary/gloss/616.html,reviewed override: CATS 'deadly' is an adjective
destroy,news,cats,damage,3,https://archive.org/details/damageASL,
evacuate,news,cats,evacuate,3,https://archive.org/details/evacuateASL,
landslide,news,cats,landslide-rocks,1,https://archive.org/details/landslide-rocksASL," weak CATS title match, review"
earthquake,news,cats,"earthquake,quake,tremor",2,https://archive.org/details/earthquakequaketremorASL,
bury,news,cats,bury,3,https://archive.org/details/buryASL,
house,news,signbank,HOUSE,3,https://aslsignbank.com/dictionary/gloss/486.html,"reviewed override: CATS 'home, james' is a driving phrase"
ship,news,cats,"boat,barque",2,https://archive.org/details/boatbarqueASL,
sink,news,cats,"sink,go down-low",2,https://archive.org/details/sinkgodown-lowASL,
oil,news,cats,"oil,petroleum-noun",2,https://archive.org/details/oilpetroleum-nounASL,
spill,news,cats,spill,3,https://archive.org/details/spillASL,
coast,news,cats,shore,3,https://archive.org/details/shoreASL,
island,news,cats,island,3,https://archive.org/details/islandASL,
ocean,news,cats,sea,3,https://archive.org/details/seaASL,
environment,news,cats,environment,3,https://archive.org/details/environmentASL,
area,news,cats,province,3,https://archive.org/details/provinceASL,
space,news,signbank,SPACE,3,https://aslsignbank.com/dictionary/gloss/269.html,reviewed override: CATS hit was 'waste time'
station,news,cats,station,3,https://archive.org/details/stationASL,
astronaut,news,cats,astronaut,3,https://archive.org/details/astronautASL,
rocket,news,cats,rocket,3,https://archive.org/details/rocketASL,
earth,news,cats,planet,3,https://archive.org/details/planetASL,
return,news,signbank,GO-BACK,3,https://aslsignbank.com/dictionary/gloss/3378.html,reviewed override: CATS 'repay' is the financial sense
capsule,news,cats,capsule,3,https://archive.org/details/capsuleASL2,
broken,news,cats,fail,3,https://archive.org/details/failASL,
expect,news,cats,"expect,figure on-verb",2,https://archive.org/details/expectfigureon-verbASL,
since,news,cats,since,3,https://archive.org/details/sinceASL,
year,news,cats,year,3,https://archive.org/details/yearASL,
month,news,cats,month,3,https://archive.org/details/monthASL,
last,news,cats,"by,past",2,https://archive.org/details/bypastASL,
next,news,cats,next,3,https://archive.org/details/nextASL,
first,news,cats,"first,primary,alpha",2,https://archive.org/details/firstprimaryalphaASL,
again,news,cats,again,3,https://archive.org/details/againASL,
hundred,news,cats,hundred,3,https://archive.org/details/hundredASL,
thousand,news,cats,thousand,3,https://archive.org/details/thousandASL,
many,news,cats,some,3,https://archive.org/details/someASL,
health,news,cats,health,3,https://archive.org/details/healthASL,
doctor,news,cats,doctor,3,https://archive.org/details/doctorASL,
hospital,news,cats,hospital,3,https://archive.org/details/hospitalASL,
sick,news,cats,infection,3,https://archive.org/details/infectionASL,
medicine,news,cats,"drug,narcotic",2,https://archive.org/details/drugnarcoticASL,
problem,news,cats,crisis,3,https://archive.org/details/crisisASL,
old,news,cats,"old,hoary,ancient",2,https://archive.org/details/oldhoaryancientASL,
need,news,cats,need,3,https://archive.org/details/needASL,
few,news,cats,few,3,https://archive.org/details/fewASL,
detail,news,cats,information,3,https://archive.org/details/informationASL,
common,news,cats,usual,3,https://archive.org/details/usualASL,
right,news,cats,proper,3,https://archive.org/details/properASL,
pope,news,cats,pope,3,https://archive.org/details/popeASL,
church,news,cats,religion,3,https://archive.org/details/religionASL,
bank,news,cats,banker,3,https://archive.org/details/bankerASL,
money,news,signbank,FINANCE,2,https://aslsignbank.com/dictionary/gloss/4270.html,
price,news,cats,price,3,https://archive.org/details/priceASL,
food,news,signbank,EAT,2,https://aslsignbank.com/dictionary/gloss/399.html,
trade,news,cats,business,3,https://archive.org/details/businessASL2,
threat,news,cats,threaten,3,https://archive.org/details/threatenASL,
replace,news,cats,replace,3,https://archive.org/details/replaceASL,
resign,news,cats,"quit,step down,resign,walk,pull out,bow out-job",2,https://archive.org/details/quitstepdownresignwalkpulloutbowout-jobASL,
become,news,cats,"become,get,grow",2,https://archive.org/details/becomegetgrowASL,
popular,news,cats,"popular,pop",2,https://archive.org/details/popularpopASL,
decline,news,signbank,DECREASEb,3,https://aslsignbank.com/dictionary/gloss/1235.html,"reviewed override: CATS 'drop,lay down' is physical"
immigration,news,cats,immigrant,3,https://archive.org/details/immigrantASL,
citizen,news,cats,citizen,3,https://archive.org/details/citizenASL,
manage,news,signbank,MANAGEx,3,https://aslsignbank.com/dictionary/gloss/3531.html,"reviewed override: CATS 'flow,run,course' is a river"
establish,news,cats,"establish,set up,found",2,https://archive.org/details/establishsetupfoundASL,
deal,news,cats,negotiate,3,https://archive.org/details/negotiateASL,
law,news,cats,legal,3,https://archive.org/details/legalASL,
attack,news,cats,"strike,slug,bash-hit",2,https://archive.org/details/strikeslugbash-hitASL,
prepare,news,cats,ready,3,https://archive.org/details/readyASL,
issue,news,cats,"publish,get out",2,https://archive.org/details/publishgetoutASL,
flag,news,cats,"flag,standard",2,https://archive.org/details/flagstandardASL,
service,news,cats,agency,3,https://archive.org/details/agencyASL,
signal,news,cats,indicate,3,https://archive.org/details/indicateASL,
increase-risk,news,cats,"bigger,larger,greater",2,https://archive.org/details/biggerlargergreaterASL,
due-to,news,cats,because,3,https://archive.org/details/becauseASL,
los-angeles,news,cats,los angeles,3,https://archive.org/details/losangelesASL,
california,news,cats,california,3,https://archive.org/details/californiaASL,
canada,news,cats,canada,3,https://archive.org/details/canadaASL,
china,news,cats,china,3,https://archive.org/details/chinaASL,
united-states,news,signbank,AMERICA,3,https://aslsignbank.com/dictionary/gloss/2315.html,reviewed override: CATS 'us' is the pronoun
england,news,cats,british,3,https://archive.org/details/britishASL,
florida,news,cats,florida,3,https://archive.org/details/floridaASL,
yes,core,cats,"yes,aye,affirmative",2,https://archive.org/details/yesayeaffirmativeASL,
no,core,signbank,NO,2,https://aslsignbank.com/dictionary/gloss/512.html,
help,core,signbank,HELPb,2,https://aslsignbank.com/dictionary/gloss/2219.html,
want,core,signbank,WANT,3,https://aslsignbank.com/dictionary/gloss/1409.html,"reviewed override: CATS 'want,after' is 'going after'"
know,core,cats,"know,know of,hear of",2,https://archive.org/details/knowknowofhearofASL,
think,core,cats,think,3,https://archive.org/details/thinkASL,
see,core,cats,"see about, see",2,https://archive.org/details/seeaboutseeASL2,
go,core,signbank,GOix,3,https://aslsignbank.com/dictionary/gloss/469.html,"reviewed override: CATS 'consume,use up' is wrong sense"
come,core,cats,come,3,https://archive.org/details/comeASL,
make,core,signbank,BUILD,2,https://aslsignbank.com/dictionary/gloss/57.html,
give,core,signbank,GIVEo,3,https://aslsignbank.com/dictionary/gloss/466.html,"reviewed override: CATS 'cause,wrought' is wrong sense"
take,core,signbank,TAKE,3,https://aslsignbank.com/dictionary/gloss/1159.html,reviewed override: CATS 'subtract' is arithmetic
get,core,cats,receive,3,https://archive.org/details/receiveASL,
work,core,cats,"job,employment,occupation",2,https://archive.org/details/jobemploymentoccupationASL,
live,core,cats,live,3,https://archive.org/details/liveASL,
now,core,cats,now,3,https://archive.org/details/nowASL,
here,core,signbank,HERE,2,https://aslsignbank.com/dictionary/gloss/484.html,
there,core,cats,there,3,https://archive.org/details/thereASL,
with,core,signbank,WITH,2,https://aslsignbank.com/dictionary/gloss/323.html,
without,core,cats,without,3,https://archive.org/details/withoutASL,
more,core,cats,more,3,https://archive.org/details/moreASL,
less,core,cats,"less,under",2,https://archive.org/details/lessunderASL,
all,core,cats,every,3,https://archive.org/details/everyASL,
other,core,signbank,OTHER,2,https://aslsignbank.com/dictionary/gloss/522.html,
new,core,cats,"new,anew",2,https://archive.org/details/newanewASL,
big,core,signbank,BIGb,3,https://aslsignbank.com/dictionary/gloss/410.html,"reviewed override: CATS 'major,track-degree' is academic"
small,core,cats,"small,little,short-height",2,https://archive.org/details/smalllittleshort-heightASL,
good,core,signbank,GOOD,2,https://aslsignbank.com/dictionary/gloss/472.html,
bad,core,signbank,BAD,2,https://aslsignbank.com/dictionary/gloss/29.html,
time,core,signbank,TIME,2,https://aslsignbank.com/dictionary/gloss/1233.html,
family,core,signbank,FAMILYf,3,https://aslsignbank.com/dictionary/gloss/1379.html,reviewed override: CATS matched keyword 'son'
man,core,cats,man,3,https://archive.org/details/manASL,
woman,core,cats,woman,3,https://archive.org/details/womanASL,
name,core,cats,"name,call",2,https://archive.org/details/namecallASL,
number,core,signbank,NUMBER,3,https://aslsignbank.com/dictionary/gloss/782.html,"reviewed override: CATS 'numb,number,numbest' is anaesthesia"
and,core,cats,plus,3,https://archive.org/details/plusASL,
but,core,cats,however,3,https://archive.org/details/howeverASL,
if,core,cats,suppose,3,https://archive.org/details/supposeASL,
how,core,cats,how,3,https://archive.org/details/howASL,
what,core,cats,what,3,https://archive.org/details/whatASL,
where,core,cats,where,3,https://archive.org/details/whereASL,
when,core,cats,when,3,https://archive.org/details/whenASL,
who,core,cats,"who,whom",2,https://archive.org/details/whowhomASL,
why,core,cats,why,3,https://archive.org/details/whyASL,
water,core,cats,water,3,https://archive.org/details/waterASL,
home,core,signbank,HOME,3,https://aslsignbank.com/dictionary/gloss/152.html,reviewed override: same CATS mismatch
school,core,signbank,SCHOOL,3,https://aslsignbank.com/dictionary/gloss/247.html,"reviewed override: CATS 'school,shoal-fish' is ambiguous"
car,core,cats,vehicle,3,https://archive.org/details/vehicleASL,
road,core,cats,street,3,https://archive.org/details/streetASL,
plane,core,cats,airplane,3,https://archive.org/details/airplaneASL,
true,core,cats,real,3,https://archive.org/details/realASL,
important,core,signbank,IMPORTANTarc,3,https://aslsignbank.com/dictionary/gloss/1746.html,reviewed override: same CATS mismatch
finish,core,cats,wrap up,3,https://archive.org/details/wrapupASL2,
happen,core,signbank,EVENT,2,https://aslsignbank.com/dictionary/gloss/1325.html,
letter-a,letter,signbank,LETTER-A,2,https://aslsignbank.com/dictionary/gloss/493.html,
letter-b,letter,signbank,LETTER-B,2,https://aslsignbank.com/dictionary/gloss/1674.html,
letter-c,letter,signbank,LETTER-C,2,https://aslsignbank.com/dictionary/gloss/1673.html,
letter-d,letter,signbank,LETTER-D,2,https://aslsignbank.com/dictionary/gloss/494.html,
letter-e,letter,signbank,LETTER-E,2,https://aslsignbank.com/dictionary/gloss/1672.html,
letter-f,letter,signbank,LETTER-F,2,https://aslsignbank.com/dictionary/gloss/1671.html,
letter-g,letter,signbank,LETTER-G,2,https://aslsignbank.com/dictionary/gloss/1670.html,
letter-h,letter,signbank,LETTER-H,2,https://aslsignbank.com/dictionary/gloss/1669.html,
letter-i,letter,signbank,LETTER-I,2,https://aslsignbank.com/dictionary/gloss/495.html,
letter-j,letter,signbank,LETTER-J,2,https://aslsignbank.com/dictionary/gloss/1668.html,
letter-k,letter,signbank,LETTER-K,2,https://aslsignbank.com/dictionary/gloss/1667.html,
letter-l,letter,signbank,LETTER-L,2,https://aslsignbank.com/dictionary/gloss/1666.html,
letter-m,letter,signbank,LETTER-M,2,https://aslsignbank.com/dictionary/gloss/1665.html,
letter-n,letter,signbank,LETTER-N,2,https://aslsignbank.com/dictionary/gloss/1664.html,
letter-o,letter,signbank,LETTER-O,2,https://aslsignbank.com/dictionary/gloss/1663.html,
letter-p,letter,signbank,LETTER-P,2,https://aslsignbank.com/dictionary/gloss/1662.html,
letter-q,letter,signbank,LETTER-Q,2,https://aslsignbank.com/dictionary/gloss/1661.html,
letter-r,letter,signbank,LETTER-R,2,https://aslsignbank.com/dictionary/gloss/1660.html,
letter-s,letter,signbank,LETTER-S,2,https://aslsignbank.com/dictionary/gloss/1659.html,
